,movieId,rating,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,n_rating
0,1,3.92,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215
1,2,3.43,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110
2,3,3.26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52
3,4,2.36,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
4,5,3.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
5,6,3.95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,102
6,7,3.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54
7,8,2.88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,9,3.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
9,10,3.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132
10,11,3.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,70
11,12,2.42,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
12,13,3.12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
13,14,3.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
14,15,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
15,16,3.93,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82
16,17,3.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,67
17,18,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
18,19,2.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
19,20,2.5,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15
20,21,3.49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,89
21,22,3.22,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,36
22,23,3.12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16
23,24,3.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28
24,25,3.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,76
25,26,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
26,27,3.33,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
27,28,4.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11
28,29,4.01,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,38
29,30,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
30,31,3.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38
31,32,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,177
32,34,3.65,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,128
33,36,3.84,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,67
34,38,2.12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
35,39,3.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,104
36,40,4.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
37,41,3.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15
38,42,3.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
39,43,3.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
